pair_caption,pair_file,reversed_pair_caption,reversed_pair_file,pair_file.1,reversed_pair_file.1
A crowd of people applauding as cheering followed by an elderly man speaking,BrPFQDr99Gg.wav,A crowd of people speaking as cheering followed by an elderly man applauding,res_1-id.wav,1.wav,2_rev.wav
A crowd cheers and a man speaks,BrPFQDr99Gg.wav,A crowd speaks and a man cheers,res_2-id.wav,1.wav,3_rev.wav
A woman whispering then yelling as an infant is crying followed by a man yelling,IsUG5SKWNZA.wav,A woman crying then yelling as an infant is whispering followed by a man yelling,res_4-id.wav,5.wav,5_rev.wav
A person sneezing twice followed by a man speaking then a kid chuckling as a clock ticks in the background,f8WPf5F22xI.wav,A person speaking twice followed by a man sneezing then a kid chuckling as a clock ticks in the background,res_5-id.wav,6.wav,6_rev.wav
Loud beep followed by engine noise,A0E_UiD-fR4.wav,Loud noise followed by engine beep,res_7-id.wav,7.wav,7_rev.wav
Some groaning followed by a woman speaking,3IScngdQA4I.wav,Some speaking followed by a woman groaning,res_8-id.wav,8.wav,8_rev.wav
People speaking faintly with some humming and a hydraulic hiss,LP_DzNUkAKY.wav,People humming faintly with some speaking and a hydraulic hiss,res_12-id.wav,9.wav,9_rev.wav
"An adult female speaks, a child cries and speaks, the adult female speaks again, while the child continues to cry and speak, and the adult female speaks once more",fx4r_KuW6No.wav,"An adult female cries, a child speaks and cries, the adult female cries again, while the child continues to speak and cry, and the adult female cries once more",res_14-id.wav,10.wav,10_rev.wav
A girl laughing as a person is snoring,4YodC6RnplI.wav,A girl snoring as a person is laughing,res_17-id.wav,11.wav,11_rev.wav
A man speaking followed by sawing then plastic crinkling as water trickles,Z7yDwpdGelM.wav,A man sawing followed by speaking then plastic crinkling as water trickles,res_18-id.wav,12.wav,12_rev.wav
Metal rattling followed by a door slamming shut then plastic clacking proceeded by a toilet flushing,3xDZ-kdGE3o.wav,Metal slamming followed by a door rattling shut then plastic clacking proceeded by a toilet flushing,res_27-id.wav,14.wav,14_rev.wav
Metal scrapping and gravel pouring while pigeons are cooing,41D0yXSBqfI.wav,Metal pouring and gravel scrapping while pigeons are cooing,res_28-id.wav,15.wav,15_rev.wav
Plastic crinkling and paper sliding as a man talks,hJtOGmN_KVw.wav,Plastic sliding and paper crinkling as a man talks,res_31-id.wav,17.wav,17_rev.wav
Adult female is speaking and a young child is crying,fx4r_KuW6No.wav,Adult female is crying and a young child is speaking,res_33-id.wav,10.wav,19_rev.wav
A series of whooshes as music plays and a crowd of people talk in the background,4_Cak7gvly4.wav,A crowd of whooshes as music plays and a series of people talk in the background,res_39-id.wav,21.wav,21_rev.wav
