entry_id,audio,query,ground_truth,_split
0,YKSHpYhuTotY@4-163697-A-13@1-54958-A-10@2-122104-B-0.wav,Is there a sound of dog in the audio?,yes,test
1,YKSHpYhuTotY@4-163697-A-13@1-54958-A-10.wav,Is there a sound of dog in the audio?,no,test
2,YKSHpYhuTotY@4-163697-A-13@1-54958-A-10@2-122104-B-0.wav,Is there a sound of rain in the audio?,yes,test
3,YKSHpYhuTotY@4-163697-A-13@1-54958-A-10.wav,Is there a sound of rain in the audio?,yes,test
4,YKSHpYhuTotY@4-163697-A-13@1-54958-A-10@2-122104-B-0.wav,Is there a sound of cat in the audio?,no,test
5,YKSHpYhuTotY@4-163697-A-13@1-54958-A-10.wav,Is there a sound of cat in the audio?,no,test
6,YKSHpYhuTotY@4-163697-A-13@2-122104-B-0@1-54958-A-10.wav,Does the audio contain the sound of rain?,yes,test
7,YKSHpYhuTotY@4-163697-A-13@2-122104-B-0.wav,Does the audio contain the sound of rain?,no,test
8,YKSHpYhuTotY@4-163697-A-13@2-122104-B-0@1-54958-A-10.wav,Does the audio contain the sound of crickets?,yes,test
9,YKSHpYhuTotY@4-163697-A-13@2-122104-B-0.wav,Does the audio contain the sound of crickets?,yes,test
10,YKSHpYhuTotY@4-163697-A-13@2-122104-B-0@1-54958-A-10.wav,Does the audio contain the sound of pig?,no,test
11,YKSHpYhuTotY@4-163697-A-13@2-122104-B-0.wav,Does the audio contain the sound of pig?,no,test
12,YKSHpYhuTotY@1-54958-A-10@2-122104-B-0@4-163697-A-13.wav,Have you noticed the sound of crickets in the audio?,yes,test
13,YKSHpYhuTotY@1-54958-A-10@2-122104-B-0.wav,Have you noticed the sound of crickets in the audio?,no,test
14,YKSHpYhuTotY@1-54958-A-10@2-122104-B-0@4-163697-A-13.wav,Have you noticed the sound of dog in the audio?,yes,test
15,YKSHpYhuTotY@1-54958-A-10@2-122104-B-0.wav,Have you noticed the sound of dog in the audio?,yes,test
16,YKSHpYhuTotY@1-54958-A-10@2-122104-B-0@4-163697-A-13.wav,Have you noticed the sound of clapping in the audio?,no,test
17,YKSHpYhuTotY@1-54958-A-10@2-122104-B-0.wav,Have you noticed the sound of clapping in the audio?,no,test
18,YKSHpYhuTotY@3-71964-A-4@3-163607-A-13@1-29561-A-10.wav,Can you hear the sound of rain in the audio?,yes,test
19,YKSHpYhuTotY@3-71964-A-4@3-163607-A-13.wav,Can you hear the sound of rain in the audio?,no,test
20,YKSHpYhuTotY@3-71964-A-4@3-163607-A-13@1-29561-A-10.wav,Can you hear the sound of crickets in the audio?,yes,test
21,YKSHpYhuTotY@3-71964-A-4@3-163607-A-13.wav,Can you hear the sound of crickets in the audio?,yes,test
22,YKSHpYhuTotY@3-71964-A-4@3-163607-A-13@1-29561-A-10.wav,Can you hear the sound of rooster in the audio?,no,test
23,YKSHpYhuTotY@3-71964-A-4@3-163607-A-13.wav,Can you hear the sound of rooster in the audio?,no,test
24,YKSHpYhuTotY@3-71964-A-4@1-29561-A-10@3-163607-A-13.wav,Can you detect the sound of crickets in the audio?,yes,test
25,YKSHpYhuTotY@3-71964-A-4@1-29561-A-10.wav,Can you detect the sound of crickets in the audio?,no,test
26,YKSHpYhuTotY@3-71964-A-4@1-29561-A-10@3-163607-A-13.wav,Can you detect the sound of rain in the audio?,yes,test
27,YKSHpYhuTotY@3-71964-A-4@1-29561-A-10.wav,Can you detect the sound of rain in the audio?,yes,test
28,YKSHpYhuTotY@3-71964-A-4@1-29561-A-10@3-163607-A-13.wav,Can you detect the sound of chirping birds in the audio?,no,test
29,YKSHpYhuTotY@3-71964-A-4@1-29561-A-10.wav,Can you detect the sound of chirping birds in the audio?,no,test
30,YKSHpYhuTotY@3-163607-A-13@1-29561-A-10@3-71964-A-4.wav,Is there a sound of frog in the audio?,yes,test
31,YKSHpYhuTotY@3-163607-A-13@1-29561-A-10.wav,Is there a sound of frog in the audio?,no,test
32,YKSHpYhuTotY@3-163607-A-13@1-29561-A-10@3-71964-A-4.wav,Is there a sound of rain in the audio?,yes,test
33,YKSHpYhuTotY@3-163607-A-13@1-29561-A-10.wav,Is there a sound of rain in the audio?,yes,test
34,YKSHpYhuTotY@3-163607-A-13@1-29561-A-10@3-71964-A-4.wav,Is there a sound of chirping birds in the audio?,no,test
35,YKSHpYhuTotY@3-163607-A-13@1-29561-A-10.wav,Is there a sound of chirping birds in the audio?,no,test
36,YKSHpYhuTotY@2-104952-B-16@4-192236-A-0@1-56311-A-10.wav,Does the audio contain the sound of rain?,yes,test
37,YKSHpYhuTotY@2-104952-B-16@4-192236-A-0.wav,Does the audio contain the sound of rain?,no,test
38,YKSHpYhuTotY@2-104952-B-16@4-192236-A-0@1-56311-A-10.wav,Does the audio contain the sound of wind?,yes,test
39,YKSHpYhuTotY@2-104952-B-16@4-192236-A-0.wav,Does the audio contain the sound of wind?,yes,test
40,YKSHpYhuTotY@2-104952-B-16@4-192236-A-0@1-56311-A-10.wav,Does the audio contain the sound of keyboard typing?,no,test
41,YKSHpYhuTotY@2-104952-B-16@4-192236-A-0.wav,Does the audio contain the sound of keyboard typing?,no,test
